method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h6_pulse,71,67,1,89,1.87705,1,361,10776,-0.214762,-0.0191298,0.246486,0.0263128,0.464027,1.05,1.03509,0.629932,0.506689,0.672109,0.98063,0.582054,0.616799,0.578407,60,176,0.0975187,-1,1,1,,
h6_pulse,72,67,1,332,0.474866,1,5941,2116,0.0330677,-0.0180054,-0.180151,0.0338774,0.220091,1.05,0.899254,0.4,0.39059,0.410884,0.829562,0.386934,0.482271,0.443977,60,176,0.096537,1,1,1,,
h6_pulse,73,67,1,33,4.81848,1,5177,11020,-0.0543289,0.000684738,0.303845,0.054204,0.362151,1.05,1.10288,0.514286,0.410884,0.514286,0.946778,0.535945,0.503669,0.466297,60,176,0.0878896,-1,1,1,,
h6_pulse,74,67,1,289,4.84312,1,10063,72,0.268452,0.0127802,-0.231571,-0.000921249,0.500214,1.05,1.0068,0.741497,0.548526,0.755102,0.986332,0.627982,0.613556,0.569566,60,176,0.0834656,-1,1,1,,
h6_pulse,75,67,1,210,3.63869,0,8066,72,0.171597,0.092433,-0.231571,-0.000921249,0.414121,1.05,1.05973,0.636735,0.496032,0.646258,0.975561,0.585504,0.557665,0.514604,60,176,0.0862121,-1,1,1,,
h6_pulse,76,67,1,210,5.20313,1,8066,72,0.171597,0.092433,-0.231571,-0.000921249,0.414121,1.05,1.03069,0.704762,0.548073,0.704762,0.981354,0.560952,0.605639,0.562599,60,176,0.0809528,-1,1,1,,
h6_pulse,77,67,1,337,0.794023,1,3682,10907,-0.145946,-0.119205,0.285481,0.0420094,0.460564,1.05,1.10414,0.594558,0.461451,0.604082,0.975923,0.636337,0.519149,0.482533,60,176,0.0850511,1,1,1,,
h6_pulse,78,67,1,297,4.36585,1,7839,2722,0.152444,-0.045084,-0.167376,0.0334206,0.329341,1.05,1.06905,0.606803,0.483674,0.613605,0.959993,0.509556,0.575182,0.533865,60,176,0.0797165,1,1,1,,
h6_pulse,79,67,1,152,1.70413,0,571,10220,-0.214721,0.0894079,0.263862,0.0130539,0.484996,1.05,1.01679,0.863946,0.621088,0.863946,0.981354,0.648365,0.62921,0.588753,60,176,0.0879357,-1,1,1,,
h6_pulse,80,67,1,176,2.83057,1,778,10671,-0.213817,0.0697689,0.254654,0.0200853,0.472036,1.05,1.09425,0.790476,0.597165,0.790476,0.968682,0.63783,0.628438,0.588381,60,176,0.0904318,1,1,1,,
h6_pulse,81,67,1,42,4.29566,0,9253,72,0.186287,0.100121,-0.231571,-0.000921249,0.429961,1.05,1.01079,0.783673,0.586848,0.783673,0.989862,0.619332,0.615819,0.57336,60,176,0.0940089,-1,1,1,,
h6_pulse,82,67,1,124,5.29917,0,9146,31,0.181944,0.0916824,-0.248019,0.00759792,0.438193,1.05,1.03926,0.797279,0.578685,0.797279,0.989862,0.630916,0.602586,0.559983,60,176,0.0802125,1,1,1,,
h6_pulse,83,67,1,0,5.56646,1,8010,72,0.152023,0.103207,-0.231571,-0.000921249,0.397485,1.05,1.02105,0.70068,0.532766,0.70068,0.979182,0.584231,0.598996,0.556835,60,176,0.0820374,-1,1,1,,
h6_pulse,84,67,1,115,0.649657,1,3069,10937,-0.145014,-0.0762701,0.290137,0.0449381,0.451717,1.05,1.01719,0.608163,0.504195,0.608163,0.914555,0.616442,0.543126,0.505926,60,176,0.0839511,1,1,1,,
h6_pulse,85,67,1,123,2.90169,1,526,10220,-0.209064,0.0856152,0.263862,0.0130539,0.478568,1.05,1.08431,0.82585,0.609184,0.82585,0.986875,0.649781,0.628241,0.587504,60,176,0.0904963,1,1,1,,
