method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
hk_pairs,59,45,1,179,3.1411,0,10456,5939,0.233109,-0.0120106,0.0334406,0.0661564,0.214594,1.05,1.08885,0.56694,0.472108,0.569672,0.850833,0.486055,0.643588,0.58114,420,145,0.0854438,1,1,1,4,5
hk_pairs,60,45,1,328,2.52172,0,145,9841,-0.231475,0.0557003,0.197027,0.204229,0.453586,1.05,0.999192,0.405738,0.318306,0.405738,0.861242,0.594963,0.308228,0.228873,420,145,0.0940863,1,1,1,3,2
hk_pairs,61,45,1,241,5.01781,0,3662,10964,-0.153935,-0.152021,0.284098,0.0404701,0.478462,1.05,0.996613,0.620219,0.500797,0.620219,0.965514,0.609285,0.516575,0.481333,420,145,0.0943496,-1,1,1,6,3
hk_pairs,62,45,1,235,1.78519,0,2606,5978,-0.156796,0.191725,0.036871,0.0694427,0.229041,1.05,1.19865,0.489071,0.408356,0.494536,0.926593,0.412958,0.557398,0.484882,420,145,0.0869308,-1,1,1,1,5
hk_pairs,63,45,1,44,5.18852,0,5645,6053,-0.00140858,-0.144583,0.0478668,0.239101,0.386835,1.05,1.0246,0.531421,0.398452,0.532787,0.958454,0.547447,0.364622,0.291207,420,145,0.0909813,-1,1,1,8,0
hk_pairs,64,45,1,24,2.54098,1,2921,9955,-0.174654,-0.295691,0.202683,-0.118843,0.416746,1.05,1.14085,0.896175,0.650956,0.896175,0.990224,0.573339,0.695902,0.633767,420,145,0.0753487,1,1,1,9,7
hk_pairs,65,45,1,66,1.33589,1,10754,5939,0.231322,0.19311,0.0334406,0.0661564,0.235139,1.05,0.8868,0.5,0.448657,0.5,0.933744,0.421076,0.617777,0.55305,420,145,0.0844874,1,1,1,2,5
hk_pairs,66,45,1,172,6.03804,0,9878,310,0.195704,-0.145012,-0.219474,0.0443707,0.456332,1.05,0.99865,0.613388,0.482924,0.613388,0.960445,0.6274,0.546951,0.48488,420,145,0.0764905,1,1,1,7,4
hk_pairs,67,45,1,233,0.982094,0,5612,5978,-0.00146675,0.233496,0.036871,0.0694427,0.168473,1.05,1.28319,0.531421,0.442168,0.557377,0.917632,0.332628,0.563278,0.490561,420,145,0.0767244,1,1,1,0,5
hk_pairs,68,45,1,231,5.7914,1,6617,5905,0.0955315,-0.347029,0.030447,-0.17753,0.182667,1.05,1.14138,0.463115,0.459813,0.474044,0.943881,0.335709,0.80375,0.734168,420,145,0.0818477,-1,1,1,11,8
hk_pairs,69,45,1,327,4.93523,0,9518,5939,0.186737,-0.138107,0.0334406,0.0661564,0.255389,1.05,1.28892,0.60929,0.484631,0.612022,0.97176,0.512087,0.629566,0.563457,420,145,0.09021,1,1,1,7,5
hk_pairs,70,45,1,103,2.4255,1,7750,5930,0.152654,-0.326788,0.0371904,-0.349297,0.11789,1.05,0.993174,0.523224,0.508538,0.551913,0.933291,0.283497,0.936007,0.863159,420,145,0.0744401,1,1,1,11,10
hk_pairs,71,45,1,69,1.7735,1,6992,224,0.133078,-0.357527,-0.221721,0.0423927,0.534619,1.05,1.07887,0.669399,0.551799,0.673497,0.954381,0.649316,0.713823,0.65003,420,145,0.0768538,1,1,1,11,3
